"Time_Iter","Inner_Iter",    "Cur_Time"    ,    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     ,   "relrms[Rho]"  ,  "relrms[RhoU]"  ,  "relrms[RhoV]"  ,  "relrms[RhoE]"  , "tavg[RefForce]" ,    "tavg[CD]"    ,    "tavg[CL]"    ,    "tavg[CSF]"   ,    "tavg[CMx]"   ,    "tavg[CMy]"   ,    "tavg[CMz]"   ,    "tavg[CFx]"   ,    "tavg[CFy]"   ,    "tavg[CFz]"   ,   "tavg[CEff]"   ,  "tavg[Buffet]"  ,"Cauchy[tavg[CD]]","Cauchy[tavg[CL]]"
         46,          49,              0.92,      -7.903290974,      -5.791129652,       -5.87304181,      -2.446656229,     0.06088926657,       2.036607512,    -0.07361380886,                 0,                 0,                 0,    0.009116209709,       2.036607512,    -0.07361380886,                 0,    -0.03614530951,      0.2161710091,      -1.531690492,      -1.841056086,      -1.922048604,      -1.532931416,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         47,          49,              0.94,       -8.04369256,      -5.683389078,      -5.869242049,       -2.59488785,     0.06088926657,         1.6238261,    -0.01123668255,                 0,                 0,                 0,   -0.006295942273,         1.6238261,    -0.01123668255,                 0,   -0.006919880494,      0.2039009768,      -1.628816122,      -1.699659233,      -1.872950754,      -1.640409051,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         48,          49,              0.96,      -8.162026088,      -5.688553435,      -5.852966452,      -2.714905002,     0.06088926657,       1.339708194,     0.07958950607,                 0,                 0,                 0,    -0.02874170437,       1.339708194,     0.07958950607,                 0,      0.0594080908,      0.2039009768,      -1.721584462,       -1.69460092,      -1.865173451,      -1.736972183,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         49,          49,              0.98,      -8.082155855,      -5.821253328,      -5.888850964,      -2.622659951,     0.06088926657,       1.256388633,       0.179420387,                 0,                 0,                 0,    -0.05336273398,       1.256388633,       0.179420387,                 0,      0.1428064393,      0.1704779914,      -1.623661985,      -1.821118349,      -1.918739249,      -1.625857199,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         50,          49,                 1,      -8.013557145,       -6.07311943,      -5.971648701,      -2.552192735,     0.06088926657,       1.356571041,      0.2633608247,                 0,                 0,                 0,    -0.07394947233,       1.356571041,      0.2633608247,                 0,      0.1941371419,      0.1546957658,      -1.528176776,      -2.053897009,      -1.990291598,      -1.525893307,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         51,          49,              1.02,       -8.04494552,      -6.046802752,      -6.007421042,      -2.586295024,     0.06088926657,       1.576473801,      0.3197618065,                 0,                 0,                 0,    -0.08760579693,       1.576473801,      0.3197618065,                 0,      0.2028335684,      0.1631815941,      -1.518792673,      -1.996134057,      -1.984535755,      -1.517450198,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         52,          49,              1.04,      -8.178885316,      -5.885372672,      -5.988808698,      -2.726717909,     0.06088926657,       1.821307865,      0.3386651801,                 0,                 0,                 0,    -0.09186958418,       1.821307865,      0.3386651801,                 0,       0.185946147,      0.1631815941,       -1.60658523,      -1.804092417,      -1.920974148,      -1.612746403,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         53,          49,              1.06,      -8.333185052,      -5.855901504,      -6.002378944,      -2.885700998,     0.06088926657,       2.000848329,      0.3192035331,                 0,                 0,                 0,    -0.08656829718,       2.000848329,      0.3192035331,                 0,      0.1595340978,      0.1704774356,      -1.723167636,      -1.756833011,      -1.920421003,      -1.736870309,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         54,          49,              1.08,      -8.272531052,      -5.959124593,       -6.07849382,      -2.813219375,     0.06088926657,       2.066866905,      0.2671728794,                 0,                 0,                 0,    -0.07316360664,       2.066866905,      0.2671728794,                 0,      0.1292646753,      0.1704779917,       -1.63693133,       -1.85301663,      -2.008637709,       -1.64002842,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         55,          49,               1.1,      -8.189304956,      -6.184880332,      -6.187260587,      -2.728071585,     0.06088926657,        2.02131926,      0.1916625417,                 0,                 0,                 0,    -0.05395592607,        2.02131926,      0.1916625417,                 0,     0.09482051917,      0.2051597779,       -1.53001742,      -2.072403212,      -2.124242998,      -1.529508928,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
