"Density","Energy","Mach","Momentum:0","Momentum:1","Momentum:2","Pressure","Pressure_Coefficient","Temperature","Velocity:0","Velocity:1","Velocity:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.1834,3.0655e+05,2.272,654.85,0,0,50145,-2.8856,147.62,553.37,0,0,1,6.89,3.89,0,0
1.184,3.0669e+05,2.2715,655.11,0,0,50180,-2.8837,147.64,553.31,0,0,1,6.903,3.903,0,0
1.1845,3.0683e+05,2.2711,655.37,0,0,50214,-2.8818,147.67,553.26,0,0,1,6.916,3.916,0,0
1.1851,3.0696e+05,2.2707,655.61,0,0,50246,-2.8799,147.7,553.21,0,0,1,6.929,3.929,0,0
1.1856,3.0708e+05,2.2703,655.83,0,0,50276,-2.8782,147.73,553.17,0,0,1,6.942,3.942,0,0
1.1861,3.0721e+05,2.2699,656.06,0,0,50306,-2.8765,147.75,553.12,0,0,1,6.955,3.955,0,0
1.1865,3.0731e+05,2.2696,656.26,0,0,50332,-2.8751,147.77,553.08,0,0,1,6.968,3.968,0,0
1.187,3.0742e+05,2.2692,656.45,0,0,50359,-2.8736,147.79,553.04,0,0,1,6.981,3.981,0,0
1.1874,3.0752e+05,2.2689,656.63,0,0,50383,-2.8722,147.82,553,0,0,1,6.994,3.994,0,0
1.1878,3.0761e+05,2.2686,656.8,0,0,50406,-2.8709,147.83,552.97,0,0,1,7.007,4.007,0,0
1.1882,3.077e+05,2.2684,656.97,0,0,50428,-2.8697,147.85,552.94,0,0,1,7.02,4.02,0,0
1.1885,3.0778e+05,2.2681,657.12,0,0,50447,-2.8686,147.87,552.91,0,0,1,7.033,4.033,0,0
1.1888,3.0786e+05,2.2679,657.26,0,0,50467,-2.8675,147.89,552.88,0,0,1,7.046,4.046,0,0
1.1891,3.0793e+05,2.2676,657.39,0,0,50484,-2.8665,147.9,552.85,0,0,1,7.059,4.059,0,0
1.1894,3.0799e+05,2.2674,657.51,0,0,50500,-2.8656,147.91,552.83,0,0,1,7.072,4.072,0,0
1.1896,3.0806e+05,2.2672,657.63,0,0,50516,-2.8647,147.93,552.8,0,0,1,7.085,4.085,0,0
1.1899,3.0811e+05,2.2671,657.73,0,0,50529,-2.864,147.94,552.78,0,0,1,7.098,4.098,0,0
1.1901,3.0817e+05,2.2669,657.82,0,0,50542,-2.8632,147.95,552.76,0,0,1,7.111,4.111,0,0
1.1903,3.0821e+05,2.2668,657.91,0,0,50554,-2.8626,147.96,552.74,0,0,1,7.124,4.124,0,0
1.1904,3.0825e+05,2.2666,657.99,0,0,50564,-2.862,147.97,552.73,0,0,1,7.137,4.137,0,0
1.1906,3.083e+05,2.2665,658.06,0,0,50574,-2.8614,147.98,552.71,0,0,1,7.15,4.15,0,0
1.1907,3.0833e+05,2.2664,658.12,0,0,50582,-2.861,147.98,552.7,0,0,1,7.163,4.163,0,0
1.1909,3.0836e+05,2.2663,658.18,0,0,50589,-2.8606,147.99,552.69,0,0,1,7.176,4.176,0,0
1.191,3.0838e+05,2.2662,658.23,0,0,50596,-2.8602,147.99,552.68,0,0,1,7.189,4.189,0,0
1.1911,3.084e+05,2.2662,658.26,0,0,50601,-2.8599,148,552.67,0,0,1,7.202,4.202,0,0
1.1911,3.0843e+05,2.2661,658.3,0,0,50606,-2.8596,148,552.66,0,0,1,7.215,4.215,0,0
1.1912,3.0844e+05,2.2661,658.32,0,0,50609,-2.8595,148,552.66,0,0,1,7.228,4.228,0,0
1.1912,3.0845e+05,2.266,658.34,0,0,50612,-2.8593,148.01,552.66,0,0,1,7.241,4.241,0,0
1.1913,3.0845e+05,2.266,658.35,0,0,50613,-2.8592,148.01,552.65,0,0,1,7.254,4.254,0,0
1.1913,3.0845e+05,2.266,658.36,0,0,50614,-2.8592,148.01,552.65,0,0,1,7.267,4.267,0,0
1.1913,3.0846e+05,2.266,658.36,0,0,50614,-2.8592,148.01,552.65,0,0,1,7.28,4.28,0,0
1.1912,3.0845e+05,2.266,658.34,0,0,50612,-2.8593,148.01,552.65,0,0,1,7.293,4.293,0,0
1.1912,3.0844e+05,2.266,658.33,0,0,50610,-2.8594,148.01,552.66,0,0,1,7.306,4.306,0,0
1.1912,3.0843e+05,2.2661,658.31,0,0,50607,-2.8596,148,552.66,0,0,1,7.319,4.319,0,0
1.1911,3.0841e+05,2.2661,658.27,0,0,50603,-2.8598,148,552.67,0,0,1,7.332,4.332,0,0
1.191,3.0839e+05,2.2662,658.24,0,0,50598,-2.8601,148,552.67,0,0,1,7.345,4.345,0,0
1.1909,3.0837e+05,2.2663,658.19,0,0,50592,-2.8604,147.99,552.68,0,0,1,7.358,4.358,0,0
1.1908,3.0834e+05,2.2664,658.14,0,0,50585,-2.8608,147.99,552.69,0,0,1,7.371,4.371,0,0
1.1907,3.0831e+05,2.2664,658.08,0,0,50577,-2.8612,147.98,552.71,0,0,1,7.384,4.384,0,0
1.1905,3.0827e+05,2.2666,658.02,0,0,50568,-2.8617,147.97,552.72,0,0,1,7.397,4.397,0,0
1.1904,3.0823e+05,2.2667,657.95,0,0,50559,-2.8623,147.96,552.73,0,0,1,7.41,4.41,0,0
1.1902,3.0819e+05,2.2668,657.86,0,0,50548,-2.8629,147.95,552.75,0,0,1,7.423,4.423,0,0
1.19,3.0814e+05,2.267,657.78,0,0,50537,-2.8635,147.95,552.77,0,0,1,7.436,4.436,0,0
1.1898,3.0809e+05,2.2671,657.68,0,0,50524,-2.8642,147.93,552.79,0,0,1,7.449,4.449,0,0
