"Density","Energy","Mach","Momentum:0","Momentum:1","Momentum:2","Pressure","Pressure_Coefficient","Temperature","Velocity:0","Velocity:1","Velocity:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.92634,2.0031e+05,0.23525,75.253,-1.0779e-17,0,78901,-1.2635,296.72,81.237,-1.1633e-17,0,1,5.603,2.603,0,0
0.92645,2.0033e+05,0.23479,75.116,0,0,78913,-1.2628,296.73,81.079,0,0,1,5.616,2.616,0,0
0.92655,2.0035e+05,0.23433,74.978,0,0,78925,-1.2622,296.74,80.922,0,0,1,5.629,2.629,0,0
0.92665,2.0036e+05,0.23387,74.841,0,0,78937,-1.2615,296.75,80.765,0,0,1,5.642,2.642,0,0
0.92675,2.0038e+05,0.23342,74.706,-4.3715e-18,0,78949,-1.2608,296.77,80.611,-4.7165e-18,0,1,5.655,2.655,0,0
0.92684,2.004e+05,0.23298,74.574,0,0,78960,-1.2602,296.78,80.461,0,0,1,5.668,2.668,0,0
0.92693,2.0042e+05,0.23254,74.443,0,0,78971,-1.2596,296.79,80.311,0,0,1,5.681,2.681,0,0
0.92703,2.0043e+05,0.2321,74.311,0,0,78982,-1.2589,296.8,80.161,0,0,1,5.694,2.694,0,0
0.92712,2.0045e+05,0.23167,74.181,0,0,78993,-1.2583,296.81,80.012,0,0,1,5.707,2.707,0,0
0.9272,2.0047e+05,0.23124,74.051,0,0,79003,-1.2577,296.83,79.865,0,0,1,5.72,2.72,0,0
0.92729,2.0048e+05,0.2308,73.921,0,0,79014,-1.2572,296.84,79.717,0,0,1,5.733,2.733,0,0
0.92738,2.005e+05,0.23037,73.791,0,0,79024,-1.2566,296.85,79.57,0,0,1,5.746,2.746,0,0
0.92747,2.0051e+05,0.22995,73.664,1.9613e-17,0,79036,-1.2559,296.86,79.425,2.1143e-17,0,1,5.759,2.759,0,0
0.92757,2.0053e+05,0.22953,73.538,0,0,79047,-1.2553,296.87,79.281,0,0,1,5.772,2.772,0,0
0.92767,2.0055e+05,0.22911,73.413,0,0,79059,-1.2546,296.88,79.136,0,0,1,5.785,2.785,0,0
0.92777,2.0057e+05,0.22868,73.287,0,0,79070,-1.254,296.89,78.992,0,0,1,5.798,2.798,0,0
0.92785,2.0058e+05,0.22827,73.162,-7.8435e-18,0,79080,-1.2534,296.91,78.851,-8.4527e-18,0,1,5.811,2.811,0,0
